公司代码,公司简称
000005,世纪星源
000014,沙河股份
000024,招商地产
000027,深圳能源
000031,中粮地产
000039,中集集团
000043,中航地产
000049,德赛电池
000055,方大集团
000058,深赛格
000060,中金岭南
000063,中兴通讯
000066,长城电脑
000070,特发信息
000078,海王生物
000088,盐田港
000096,广聚能源
000099,中信海直
000151,中成股份
000153,丰原药业
000159,国际实业
000301,东方市场
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000402,金融街
000404,华意压缩
000407,胜利股份
000410,沈阳机床
000411,英特集团
000417,合肥百货
000419,通程控股
000420,吉林化纤
000421,南京中北
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000428,华天酒店
000488,晨鸣纸业
000503,海虹控股
000514,渝开发
000520,长航凤凰
000521,美菱电器
000523,广州浪奇
000525,红太阳
000528,柳工
000529,广弘控股
000530,大冷股份
000533,万家乐
000534,万泽股份
000537,广宇发展
000538,云南白药
000540,中天城投
000548,湖南投资
000550,江铃汽车
000551,创元科技
000552,靖远煤电
000554,泰山石油
000559,万向钱潮
000564,西安民生
000566,海南海药　
000567,海德股份
000568,泸州老窖
000581,威孚高科
000584,友利控股
000591,桐君阁
000593,大通燃气
000596,古井贡酒
000597,东北制药
000599,青岛双星
000601,韶能股份
000606,青海明胶
000609,绵世股份
000615,湖北金环
000617,石油济柴
000619,海螺型材
000623,吉林敖东
000625,长安汽车
000626,如意集团
000627,天茂集团
000628,高新发展
000630,铜陵有色
000631,顺发恒业
000632,三木集团
000635,英力特
000636,风华高科
000637,茂化实华
000650,仁和药业
000651,格力电器
000652,泰达股份
000655,金岭矿业
000661,长春高新
000662,索芙特
000663,永安林业
000666,经纬纺机
000668,荣丰控股
000671,阳光城
000678,襄阳轴承
000679,大连友谊
000680,山推股份
000682,东方电子
000683,远兴能源
000685,中山公用
000695,滨海能源
000698,沈阳化工
000700,模塑科技
000701,厦门信达
000702,正虹科技
000705,浙江震元
000707,双环科技
000708,大冶特钢
000710,天兴仪表
000713,丰乐种业
000715,中兴商业
000717,韶钢松山
000718,苏宁环球
000721,西安饮食
000723,美锦能源
000727,华东科技
000729,燕京啤酒
000731,四川美丰
000733,振华科技
000735,罗牛山
000748,长城信息
000751,锌业股份
000752,西藏发展
000753,漳州发展
000755,山西三维
000756,新华制药
000758,中色股份
000761,本钢板材
000766,通化金马
000777,中核科技
000778,新兴铸管
000779,三毛派神
000780,平庄能源
000782,美达股份
000785,武汉中商
000786,北新建材
000790,华神集团
000793,华闻传媒
000795,太原刚玉
000797,中国武夷
000798,中水渔业
000803,金宇车城
000811,烟台冰轮
000812,陕西金叶
000813,天山纺织
000819,岳阳兴长
000821,京山轻机
000823,超声电子
000825,太钢不锈
000828,东莞控股
000830,鲁西化工
000833,贵糖股份
000836,鑫茂科技
000839,中信国安
000848,承德露露
000850,华茂股份
000851,高鸿股份
000858,五粮液
000860,顺鑫农业
000861,海印股份
000862,银星能源
000868,安凯客车
000875,吉电股份
000876,新希望
000877,天山股份
000878,云南铜业
000881,大连国际
000882,华联股份
000885,同力水泥
000886,海南高速
000887,中鼎股份
000890,法尔胜
000893,东凌粮油
000895,双汇发展
000897,津滨发展
000898,鞍钢股份
000899,赣能股份
000900,现代投资
000901,航天科技
000905,厦门港务
000909,数源科技
000910,大亚科技
000911,南宁糖业
000913,钱江摩托
000915,山大华特
000916,华北高速
000917,电广传媒
000919,金陵药业
000920,南方汇通
000923,河北宣工
000926,福星股份
000929,兰州黄河
000932,华菱钢铁
000933,神火股份
000937,冀中能源
000938,紫光股份
000948,南天信息
000949,新乡化纤
000950,建峰化工
000951,中国重汽
000952,广济药业
000959,首钢股份
000960,锡业股份
000961,中南建设
000962,东方钽业
000963,华东医药
000965,天保基建
000966,长源电力
000967,上风高科
000969,安泰科技
000970,中科三环
000972,新中基
000977,浪潮信息
000980,金马股份
000982,中银绒业
000983,西山煤电
000987,广州友谊
000988,华工科技
000989,九芝堂
000990,诚志股份
000993,闽东电力
000996,中国中期
000997,新大陆
